name,country,suburb,state,old_repo_id,proposed_new_id
Edge and Sofa Climb Wonderland Ina,JP,"Ina, Nagano",NAGANO,seed-1917,g-60a5691c56
D.Bouldering Plus Kumamoto Oyama,JP,"Higashi, Kumamoto",KUMAMOTO,seed-1918,g-1051fd5339
D.Bouldering Plus Lead Namba,JP,"Chuo, Osaka",OSAKA,seed-1919,g-cd08f3a8c3
D.Bouldering Plus Nagano Suwa,JP,"Suwa, Nagano",NAGANO,seed-1920,g-e13991e972
D.Bouldering Sendai Nagamachi,JP,"Taihaku, Sendai",MIYAGI,seed-1921,g-f2df7534fa
D.Bouldering Plus Sengen-cho,JP,"Nishi, Nagoya",AICHI,seed-1922,g-b0d49dc418
D.Bouldering Plus Matsui-Yamate,JP,"Kyotanabe, Kyoto",KYOTO,seed-1923,g-6b181d6d0a
D.Bouldering Plus Lead Kasukabe,JP,"Kasukabe, Saitama",SAITAMA,seed-1924,g-6419a4e7b5
D.Bouldering Plus Lead Kaihin-Makuhari,JP,"Mihama, Chiba",CHIBA,seed-1925,g-f1ff2432cb
D.Bouldering Honatsugi,JP,"Atsugi, Kanagawa",KANAGAWA,seed-1926,g-0a82f7a1b0
D.Bouldering Kushiro,JP,"Kushiro, Hokkaido",HOKKAIDO,seed-1927,g-d1af7cf93f
D.Bouldering Okinawa Toyosaki,JP,"Tomigusuku, Okinawa",OKINAWA,seed-1928,g-a506f5dd99
D.Bouldering Plus Ishigaki,JP,"Ishigaki, Okinawa",OKINAWA,seed-1929,g-8d47c63847
D.Bouldering Plus Funabashi,JP,"Funabashi, Chiba",CHIBA,seed-1930,g-4b4a986251
D.Bouldering Plus Soga,JP,"Chuo, Chiba",CHIBA,seed-1931,g-f2796e3f1f
D.Bouldering Plus Tsudanuma,JP,"Funabashi, Chiba",CHIBA,seed-1932,g-b6c0194546
D.Bouldering Kawasaki,JP,"Kawasaki Ward, Kawasaki",KANAGAWA,seed-1933,g-f277b39f92
D.Bouldering Yokohama,JP,"Nishi, Yokohama",KANAGAWA,seed-1934,g-478f41fdba
Block'Out - Rennes,FR,Cesson-Sévigné,BRETAGNE,seed-1935,g-438f860619
Block'Out - Metz,FR,Augny,GRAND_EST,seed-1936,g-d98a18d2be
Block'Out - Reims,FR,Reims,GRAND_EST,seed-1937,g-102dc060a3
Block'Out - Strasbourg,FR,Strasbourg,GRAND_EST,seed-1938,g-5fc24d9c85
Block'Out - Nantes,FR,Nantes,PAYS_DE_LA_LOIRE,seed-1939,g-e1ac192928
Block'Out - Tours,FR,Tours,CENTRE_VAL_DE_LOIRE,seed-1940,g-e16d7c02e8
Block'Out - Bordeaux,FR,Bordeaux,NOUVELLE_AQUITAINE,seed-1941,g-7903326290
Arkose - Rouen,FR,Rouen,NORMANDIE,seed-1942,g-ce4cbec673
Arkose - Lille,FR,Lille,HAUTS_DE_FRANCE,seed-1943,g-fa62612c5f
Arkose - Nice,FR,Nice,PACA,seed-1944,g-6b9c8f110a
Arkose - Angers,FR,Angers,PAYS_DE_LA_LOIRE,seed-1945,g-7f70ae448d
Arkose - Niort,FR,Niort,NOUVELLE_AQUITAINE,seed-1946,g-0703ea4135
Arkose - La Rochelle,FR,Périgny,NOUVELLE_AQUITAINE,seed-1947,g-28351a24d7
Arkose - Bordeaux,FR,Bordeaux,NOUVELLE_AQUITAINE,seed-1948,g-df941bd95a
Climb Up - Caen,FR,Caen,NORMANDIE,seed-1949,g-db854888ca
Isatix - Caen Mondeville,FR,Mondeville,NORMANDIE,seed-1950,g-22a959a92c
Vertical'Art - Grenoble,FR,Saint-Martin-d'Hères,AUVERGNE_RHONE_ALPES,seed-1951,g-880857e1d9
Vertical'Art - Brest,FR,Gouesnou,BRETAGNE,seed-1952,g-0c73418922
Vertical'Art - Dijon,FR,Chenôve,BOURGOGNE_FRANCHE_COMTE,seed-1953,g-1dd168bca8
Vertical'Art - Orléans,FR,Saint-Jean-de-la-Ruelle,CENTRE_VAL_DE_LOIRE,seed-1954,g-cfcbee7042
Vertical'Art - Le Mans,FR,Le Mans,PAYS_DE_LA_LOIRE,seed-1955,g-c0b07676ec
Vertical'Art - Dunkerque,FR,Dunkerque,HAUTS_DE_FRANCE,seed-1956,g-59884f3a48
Vertical'Art - Lens-Liévin,FR,Liévin,HAUTS_DE_FRANCE,seed-1957,g-f86cb030f6
Vertical'Art - Nantes,FR,Nantes,PAYS_DE_LA_LOIRE,seed-1958,g-4e4ee72f8e
Bloc Session - BS.25 Besançon,FR,Chalezeule,BOURGOGNE_FRANCHE_COMTE,seed-1959,g-86f95e1310
Bloc Session - BS.17 Montpellier Nord,FR,Montpellier,OCCITANIE,seed-1960,g-ac8596310d
Bloc Session - BS.14 Nancy,FR,Nancy,GRAND_EST,seed-1961,g-7a108cee9b
B'up - Brézet,FR,Clermont-Ferrand,AUVERGNE_RHONE_ALPES,seed-1962,g-bc8418368d
B'up - Delille,FR,Clermont-Ferrand,AUVERGNE_RHONE_ALPES,seed-1963,g-5a9e9590e4
Ablok - Annecy,FR,Argonay,AUVERGNE_RHONE_ALPES,seed-1964,g-5e4ca0a4d9
Grimp'A Bloc - Amiens,FR,Amiens,HAUTS_DE_FRANCE,seed-1965,g-42003f3bcd
Neongkul Climbing Center,KR,"Yeonsu-dong, Chungju",CHUNGCHEONGBUK,seed-1967,g-10ab743a85
Olla Climbing Center Gyeongsan,KR,"Hayang-eup, Gyeongsan",GYEONGSANGBUK,seed-1968,g-eb8f7cf4c0
Jeonju Olla Climbing Center,KR,"Songcheon-dong, Jeonju",JEOLLABUK,seed-1972,g-c2fe98835e
Byeol Climbing,KR,"Areum-dong, Sejong",SEJONG,seed-1973,g-5d4ecfb092
Wa Climbing Cheonan,KR,"Mokcheon-eup, Cheonan",CHUNGCHEONGNAM,seed-1974,g-4e2d507f03
Climbmax,KR,"Sinbang-dong, Cheonan",CHUNGCHEONGNAM,seed-1975,g-8fd6e3893b
Gongju Forest Climbing Gym,KR,"Singwan-dong, Gongju",CHUNGCHEONGNAM,seed-1976,g-4a5777b022
Walldam Climbing Samsan,KR,"Samsan-dong, Nam-gu, Ulsan",ULSAN,seed-1977,g-63200c2995
SuperB Climbing,KR,"Yeongtong-dong, Suwon",GYEONGGI,seed-1978,g-de59206952
Boulder Mate,KR,"Pungdeokcheon-dong, Yongin",GYEONGGI,seed-1979,g-a9259f155b
Rocktree Climbing Bundang,KR,"Sunae-dong, Seongnam",GYEONGGI,seed-1980,g-69b158b889
Chamonix Climbing,KR,"Uijeongbu-dong, Uijeongbu",GYEONGGI,seed-1981,g-429da12245
Climb Days,KR,"Anyang-dong, Anyang",GYEONGGI,seed-1982,g-138cbc8020
Climb O'Clock,KR,"Banggyo-dong, Hwaseong",GYEONGGI,seed-1983,g-e227233b91
ClimbIt Mokgam,KR,"Mokgam-dong, Siheung",GYEONGGI,seed-1985,g-37d19132b4
Climbing The Hagi,KR,"Gasa-dong, Anseong",GYEONGGI,seed-1986,g-ea8068fbd1
Mad Gym Gwangmyeong Climbing Center,KR,"Haan-dong, Gwangmyeong",GYEONGGI,seed-1987,g-7523c09127
Cracker Climbing,KR,"Sangbong-dong, Jungnang-gu, Seoul",SEOUL,seed-1988,g-45fe20cab6
Koala Climbing Sangam,KR,"Sangam-dong, Mapo-gu, Seoul",SEOUL,seed-1989,g-64f8187e6b
SEOULBOULDERS Mokdong,KR,"Sinjeong-dong, Yangcheon-gu, Seoul",SEOUL,seed-1990,g-97ac649c15
Ace Climbing Center,KR,"Guro-dong, Guro-gu, Seoul",SEOUL,seed-1991,g-334e2722f3
Allez Climb Gangdong,KR,"Gil-dong, Gangdong-gu, Seoul",SEOUL,seed-1992,g-707b731ba7
Presa B+ - Bologna,IT,Bologna,EMILIA_ROMAGNA,seed-1993,g-6c9121ff1a
King Rock - Verona,IT,Verona,VENETO,seed-1994,g-0b554b02c4
Climbing District - Milano (ex Urban Wall),IT,Pero,LOMBARDIA,seed-1995,g-7e8d2591d6
Salewa Cube - Bolzano Headquarter,IT,Bolzano,TRENTINO_ALTO_ADIGE,seed-1996,g-3bd63b426d
Salewa Cube - Bolzano Waltherpark,IT,Bolzano,TRENTINO_ALTO_ADIGE,seed-1997,g-889422c452
Salewa Cube - Varese,IT,Varese,LOMBARDIA,seed-1998,g-4fec2322d1
Infinity Boulder - Trento,IT,Mattarello,TRENTINO_ALTO_ADIGE,seed-1999,g-66d45602f1
Climbo - Pisa,IT,San Giuliano Terme,TOSCANA,seed-2000,g-a1f83cb465
Metropolitan Boulder - Perugia,IT,Perugia,UMBRIA,seed-2001,g-1427ad8b71
New Rock Climbing - Brescia,IT,San Zeno Naviglio,LOMBARDIA,seed-2002,g-0018a7934a
Sisport - Genova,IT,Genova,LIGURIA,seed-2003,g-40fead6a53
Sputnik Climbing - Berango,ES,Berango,PAIS_VASCO,seed-2004,g-26f92b9797
Camaleon Boulder - Valencia,ES,Valencia,COMUNIDAD_VALENCIANA,seed-2005,g-189e8f9f0d
MOVE Climbing - Mairena del Aljarafe,ES,Mairena del Aljarafe,ANDALUCIA,seed-2006,g-8e84e4d87f
MOVE Climbing - Sevilla Hytasa,ES,Sevilla,ANDALUCIA,seed-2007,g-7f006fb429
Rock & Wall Climbing - Sevilla,ES,Sevilla,ANDALUCIA,seed-2008,g-606116f499
Climbat - Barakaldo,ES,Barakaldo,PAIS_VASCO,seed-2009,g-cb2731f0d2
Climbat - Zaragoza,ES,Zaragoza,ARAGON,seed-2010,g-fddd9062bb
Climbat - Avilés,ES,Trasona,ASTURIAS,seed-2011,g-dc0eedb36f
GUD Climbing - Murcia,ES,Churra,MURCIA,seed-2012,g-a2991c82dc
Biwak Climbing - Derio,ES,Derio,PAIS_VASCO,seed-2013,g-c413cc2f48
Bulderland - Zaragoza Delicias,ES,Zaragoza,ARAGON,seed-2014,g-959a6d86a1
Bulderland - Zaragoza Las Fuentes,ES,Zaragoza,ARAGON,seed-2015,g-331ed17944
In Rock Escalada - Palma,ES,Palma,BALEARES,seed-2016,g-9c24ad87ee
Mg12 Rocódromo - Vigo,ES,Vigo,GALICIA,seed-2017,g-5a6a2eb9b3
Mapache Climbing - Vigo,ES,Vigo,GALICIA,seed-2018,g-1e91e78898
The Other Climb - Santiago de Compostela,ES,Santiago de Compostela,GALICIA,seed-2019,g-4c7b039c70
Hangar4 - A Coruña,ES,A Coruña,GALICIA,seed-2020,g-6e04989a5a
GekoAventura - Valladolid,ES,Valladolid,CASTILLA_Y_LEON,seed-2021,g-89723e8915
SpaceBlock Climbing - Málaga,ES,Málaga,ANDALUCIA,seed-2022,g-db0f20b48a
Urban Base Camp Shinjuku,JP,"Shinjuku, Tokyo",TOKYO,seed-2023,g-027d4e2c8f
Urban Base Camp Shinbashi,JP,"Minato, Tokyo",TOKYO,seed-2024,g-e2864a4de4
Base Camp Tokyo Edogawabashi,JP,"Bunkyo, Tokyo",TOKYO,seed-2025,g-150d4e4fca
Boulder Park Base Camp Higashimurayama,JP,"Higashimurayama, Tokyo",TOKYO,seed-2026,g-4e4422310f
Boulder Park Base Camp Hanno,JP,"Hanno, Saitama",SAITAMA,seed-2027,g-016cfa0379
D.Bouldering Hachioji OPA,JP,"Hachioji, Tokyo",TOKYO,seed-2028,g-e67c010f95
D.Bouldering Plus Lead Tachikawa,JP,"Tachikawa, Tokyo",TOKYO,seed-2029,g-4847fac950
D.Bouldering Tamachi,JP,"Minato, Tokyo",TOKYO,seed-2030,g-f99ce5762c
NOBOROCK Shinjuku,JP,"Shinjuku, Tokyo",TOKYO,seed-2031,g-adea093719
NOBOROCK Asakusa,JP,"Sumida, Tokyo",TOKYO,seed-2032,g-08c7cff32d
NOBOROCK Takadanobaba,JP,"Shinjuku, Tokyo",TOKYO,seed-2033,g-708f28b761
NOBOROCK Ikebukuro,JP,"Toshima, Tokyo",TOKYO,seed-2034,g-e5ab905c5c
ROCKY Climbing & Fitness Gym Shinjuku Akebonobashi,JP,"Shinjuku, Tokyo",TOKYO,seed-2035,g-df232e8416
ROCKY Climbing & Fitness Gym Ryogoku,JP,"Sumida, Tokyo",TOKYO,seed-2036,g-13fabcbebc
PRIME CLIMBING,JP,"Chuo, Tokyo",TOKYO,seed-2037,g-040cb8f7bc
BOULCOM Tokyo,JP,"Chiyoda, Tokyo",TOKYO,seed-2038,g-d4f4c087b5
Climbing Gym SPIDER,JP,"Minato, Tokyo",TOKYO,seed-2039,g-cce5eb239a
Climbing Gym GIRI.GIRI,JP,"Nishitokyo, Tokyo",TOKYO,seed-2040,g-758d79d131
Ever Free Climbing Gym,JP,"Shinjuku, Tokyo",TOKYO,seed-2041,g-90fa0f29e1
Climbing Gym Runout,JP,"Kokubunji, Tokyo",TOKYO,seed-2042,g-bf2121f388
Climbing Studio Camelopardalis,JP,"Akishima, Tokyo",TOKYO,seed-2043,g-d105c76f01
WESTROCK Fuchu,JP,"Fuchu, Tokyo",TOKYO,seed-2044,g-e7a431952a
WESTROCK Chofu,JP,"Chofu, Tokyo",TOKYO,seed-2045,g-64d95e6af3
Bouldering space BLEAU,JP,"Suginami, Tokyo",TOKYO,seed-2046,g-5a3527de6f
UNDER GROUND,JP,"Kita, Tokyo",TOKYO,seed-2047,g-2648503cd3
Climbing Gym hangout,JP,"Chofu, Tokyo",TOKYO,seed-2048,g-6416915691
Arkose - Pont de Sèvres,FR,Boulogne-Billancourt,ILE_DE_FRANCE,seed-2049,g-efb0106614
Arkose - Issy-les-Moulineaux Bloc,FR,Issy-les-Moulineaux,ILE_DE_FRANCE,seed-2050,g-277a5d186d
Arkose - Issy-les-Moulineaux Voie,FR,Issy-les-Moulineaux,ILE_DE_FRANCE,seed-2051,g-67ecd19a4e
Arkose - Massy,FR,Massy,ILE_DE_FRANCE,seed-2052,g-3ecf8de55a
Arkose - Montreuil,FR,Montreuil,ILE_DE_FRANCE,seed-2053,g-52f135b4e4
Arkose - Nanterre-Arboretum,FR,Nanterre,ILE_DE_FRANCE,seed-2054,g-ca5c043dc1
Arkose - Pantin,FR,Pantin,ILE_DE_FRANCE,seed-2055,g-b7c516ac9f
Arkose - Saint-Denis,FR,Saint-Denis,ILE_DE_FRANCE,seed-2056,g-d87bf9a2f3
Arkose - Cholet,FR,Cholet,PAYS_DE_LA_LOIRE,seed-2057,g-9e0a4cb76f
Arkose - Genevois,FR,Vétraz-Monthoux,AUVERGNE_RHONE_ALPES,seed-2058,g-fc6325fd76
Arkose - Toulouse,FR,L'Union,OCCITANIE,seed-2059,g-aa276e73e9
Arkose - Tours Nord,FR,Tours,CENTRE_VAL_DE_LOIRE,seed-2060,g-037048230e
Arkose - Tours Sud,FR,Joué-lès-Tours,CENTRE_VAL_DE_LOIRE,seed-2061,g-2a29f35d9d
Block'Out - Cergy,FR,Osny (Cergy),ILE_DE_FRANCE,seed-2062,g-5a408f59e1
Block'Out - Évry,FR,Lisses,ILE_DE_FRANCE,seed-2063,g-ac48cd40cf
Block'Out - Lyon,FR,Limonest,AUVERGNE_RHONE_ALPES,seed-2064,g-dd28de54a9
Block'Out - Paris (Saint-Ouen),FR,Saint-Ouen-sur-Seine,ILE_DE_FRANCE,seed-2065,g-6209955eda
Block'Out - Vitrolles,FR,Vitrolles,PACA,seed-2066,g-4d13e4d98b
Climb Up - Nancy,FR,Maxéville,GRAND_EST,seed-2067,g-47d662e918
Climb Up - Bordeaux Mérignac,FR,Mérignac,NOUVELLE_AQUITAINE,seed-2068,g-e0d5a84e0e
Climb Up - Aubervilliers,FR,Aubervilliers,ILE_DE_FRANCE,seed-2069,g-4c46ac5a73
Climb Up - Chambéry,FR,La Motte-Servolex,AUVERGNE_RHONE_ALPES,seed-2070,g-1b773ea6ba
Climb Up - Saint-Étienne,FR,Saint-Étienne,AUVERGNE_RHONE_ALPES,seed-2071,g-0e3863a1a0
Climb Up - Lille Centre,FR,Lille,HAUTS_DE_FRANCE,seed-2072,g-2309c9eeb7
Bloc Session - BS Montpellier Sud,FR,Pérols,OCCITANIE,seed-2073,g-d423156d92
Bloc Session - BS.3 Nîmes,FR,Nîmes,OCCITANIE,seed-2074,g-79b2e38409
Bloc Session - BS.6 Avignon,FR,Le Pontet,PACA,seed-2075,g-9ad5571912
Bloc Session - Aix-en-Provence,FR,Aix-en-Provence,PACA,seed-2076,g-2f12232d66
Bloc Session - Toulon Centre,FR,Toulon,PACA,seed-2077,g-bba5dfa0ec
Bloc Session - Lyon Centre,FR,Lyon,AUVERGNE_RHONE_ALPES,seed-2078,g-eef9a68caf
Vertical'Art - Saint-Quentin-en-Yvelines,FR,Montigny-le-Bretonneux,ILE_DE_FRANCE,seed-2079,g-cda9e43f15
Vertical'Art - Rungis,FR,Rungis,ILE_DE_FRANCE,seed-2080,g-32705ac5e8
Vertical'Art - Toulon La Valette,FR,La Valette-du-Var,PACA,seed-2081,g-2870dd2df0
Vertical'Art - Toulon Six-Fours,FR,Six-Fours-les-Plages,PACA,seed-2082,g-30e50e2133
Boulderwelt Hamburg,DE,Hamburg,HAMBURG,seed-2083,g-7fda9b39cf
DAV Kletterzentrum Hamburg,DE,Hamburg,HAMBURG,seed-2084,g-a3116311c9
Boulderklub Kreuzberg,DE,Berlin,BERLIN,seed-2085,g-03977c72a2
Bouldergarten,DE,Berlin,BERLIN,seed-2086,g-ddba9f3487
South Rock,DE,Berlin,BERLIN,seed-2087,g-1c93e516c3
7a+ bouldergym,DE,Potsdam,BRANDENBURG,seed-2088,g-91aa548169
Kletterhalle No Limit,DE,Leipzig,SACHSEN,seed-2089,g-95d5dd7d30
Bloc No Limit,DE,Leipzig,SACHSEN,seed-2090,g-57dfe1efab
Kletterfabrik Köln,DE,Köln,NORDRHEIN_WESTFALEN,seed-2091,g-27e1b21ca8
Chimpanzodrome,DE,Frechen,NORDRHEIN_WESTFALEN,seed-2092,g-4e936088eb
Wupperwände,DE,Wuppertal,NORDRHEIN_WESTFALEN,seed-2093,g-52e5ee5e4f
Bronx Rock,DE,Wesseling,NORDRHEIN_WESTFALEN,seed-2094,g-b6f99d2813
Canyon Chorweiler,DE,Köln,NORDRHEIN_WESTFALEN,seed-2095,g-714fb371cc
Einstein Boulderhalle Köln,DE,Köln,NORDRHEIN_WESTFALEN,seed-2096,g-e6697f0797
Einstein Boulderhalle Duisburg,DE,Duisburg,NORDRHEIN_WESTFALEN,seed-2097,g-ec7c2992aa
Einstein Boulderhalle Recklinghausen,DE,Recklinghausen,NORDRHEIN_WESTFALEN,seed-2098,g-820825d316
Neoliet Kletterzentrum Bochum,DE,Bochum,NORDRHEIN_WESTFALEN,seed-2099,g-9ec447b565
Neoliet Kletterzentrum Mülheim,DE,Mülheim an der Ruhr,NORDRHEIN_WESTFALEN,seed-2100,g-fbeebad0b1
Neoliet Boulderbar Wattenscheid,DE,Bochum,NORDRHEIN_WESTFALEN,seed-2101,g-001304292f
Neoliet Boulderbar Oberhausen,DE,Oberhausen,NORDRHEIN_WESTFALEN,seed-2102,g-40302b9f55
Neoliet Boulderbar Gelsenkirchen,DE,Gelsenkirchen,NORDRHEIN_WESTFALEN,seed-2103,g-c193560732
Neoliet Boulderbar Essen,DE,Essen,NORDRHEIN_WESTFALEN,seed-2104,g-91ffa7b866
Cube Trier,DE,Trier,RHEINLAND_PFALZ,seed-2105,g-9a69458355
DAV Kletterzentrum Kaiserslautern,DE,Kaiserslautern,RHEINLAND_PFALZ,seed-2106,g-14944a5327
Kletterkiste Mainz,DE,Mainz,RHEINLAND_PFALZ,seed-2107,g-18e55d74e7
DAV Kletterzentrum Stuttgart,DE,Stuttgart,BADEN_WURTTEMBERG,seed-2108,g-f4ae8e8c93
Boulderwelt Karlsruhe,DE,Karlsruhe,BADEN_WURTTEMBERG,seed-2109,g-8a1e5b62a5
der steinbock Konstanz,DE,Konstanz,BADEN_WURTTEMBERG,seed-2110,g-9b81a0ceac
Boulderwelt München West,DE,München,BAYERN,seed-2111,g-33676a6dbf
Boulderwelt München Süd,DE,Brunnthal,BAYERN,seed-2112,g-7fa2372189
der steinbock Passau,DE,Passau,BAYERN,seed-2113,g-b4c5c6ca78
Einstein Boulderhalle Neu-Ulm,DE,Neu-Ulm,BAYERN,seed-2114,g-291605e51c
Sputnik Climbing - Alcobendas,ES,Alcobendas,MADRID,seed-2115,g-ae185f6a9d
Sputnik Climbing - Las Rozas,ES,Las Rozas de Madrid,MADRID,seed-2116,g-d80a8c70cd
Sputnik Climbing - Guindalera,ES,Madrid,MADRID,seed-2117,g-40637d746e
Sharma Climbing - Gavà,ES,Gavà,CATALUNYA,seed-2118,g-79ffabdd90
Climbat - X-Madrid,ES,Alcorcón,MADRID,seed-2119,g-d5df7ee6d2
Natural Climb - Valencia,ES,Valencia,COMUNIDAD_VALENCIANA,seed-2120,g-e90214ba71
One Move - Gijón,ES,Gijón,ASTURIAS,seed-2121,g-898c692e96
Tokyo Wall - Granada,ES,Churriana de la Vega,ANDALUCIA,seed-2122,g-127b24e5bd
Climb Warrior - Granada,ES,La Zubia,ANDALUCIA,seed-2123,g-dc46c81fcf
The Factory Boulder - San Sebastián,ES,Donostia-San Sebastián,PAIS_VASCO,seed-2124,g-5c0787a275
Rocópolis - Pamplona,ES,Berrioplano,NAVARRA,seed-2125,g-f005fcd504
Centro de Escalada Tenerife,ES,San Cristóbal de La Laguna,CANARIAS,seed-2126,g-ede7b78434
Kimera Climbing - Gavà,ES,Gavà,CATALUNYA,seed-2127,g-08aaf7046f
Campo Base Escalada - Burgos,ES,Burgos,CASTILLA_Y_LEON,seed-2128,g-12abbc515f
Geo Boulder - Terrassa,ES,Terrassa,CATALUNYA,seed-2129,g-a59db58713
Sala Batec - Sabadell,ES,Sabadell,CATALUNYA,seed-2130,g-1e9a7aa578
Beta House Climbing - Sesto Fiorentino,IT,Sesto Fiorentino,TOSCANA,seed-2131,g-9faa61b7af
Rockarena - Merano,IT,Merano,TRENTINO_ALTO_ADIGE,seed-2132,g-8cbdb58a67
Kletterhalle Tramin,IT,Termeno,TRENTINO_ALTO_ADIGE,seed-2133,g-1828890d36
Dolomyte Bouldering Gym - Trieste,IT,Trieste,FRIULI_VENEZIA_GIULIA,seed-2134,g-f2f89736ab
